F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S   128    2105    1566  0  80   0 - 133101 -     tty1     00:00:00 gsd-rfkill
0 S   128    2111    1566  0  80   0 - 96852 -      tty1     00:00:00 gsd-smartcard
0 S   128    2114    1566  0  80   0 - 108315 -     tty1     00:00:00 gsd-datetime
0 S   128    2117    1566  0  80   0 - 148886 -     tty1     00:00:01 gsd-media-keys
0 S   128    2121    1566  0  80   0 - 77719 -      tty1     00:00:00 gsd-screensaver
0 S   128    2123    1566  0  80   0 - 98773 -      tty1     00:00:00 gsd-sound
0 S   128    2126    1566  0  80   0 - 96277 -      tty1     00:00:00 gsd-a11y-settin
0 S   128    2130    1566  0  80   0 - 115143 -     tty1     00:00:22 gsd-housekeepin
0 S   128    2133    1566  0  80   0 - 131244 -     tty1     00:00:01 gsd-power
0 S   128    2222       1  0  80   0 - 104390 -     tty1     00:00:00 gsd-printer
0 S   128    2325    1719  0  80   0 - 796220 -     tty1     00:00:00 mutter-x11-fram
0 S   128    2326    1719  0  80   0 - 97508 -      tty1     00:00:00 ibus-daemon
0 S   128    2336    2326  0  80   0 - 77945 -      tty1     00:00:00 ibus-dconf
0 S   128    2338       1  0  80   0 - 122018 -     tty1     00:00:00 ibus-x11
0 S   128    2350       1  0  80   0 - 77936 -      tty1     00:00:00 ibus-portal
0 S   128    2391    2326  0  80   0 - 59489 -      tty1     00:00:00 ibus-engine-sim
0 S   128    2404       1  0  80   0 - 684429 -     tty1     00:00:00 gjs
1 I     0    8509       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tls-s
4 S   104   14999       1  0  80   0 - 55633 -      ?        00:00:22 rsyslogd
4 S     0   16166       1  0  79  -1 - 167427 -     ?        00:02:17 systemd-journal
4 S   103   16300       1  0  80   0 - 22763 -      ?        00:00:01 systemd-timesyn
4 S     0   16444       1  0  80   0 -  7655 -      ?        00:00:01 systemd-udevd
1 S     0   16446       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S   108   16591       1  0  80   0 -  6814 -      ?        00:10:05 systemd-oomd
4 S     0   16915       1  0  80   0 - 164010 -     ?        00:00:22 fwupd
4 S   101   17074       1  0  80   0 -  5444 -      ?        00:00:17 systemd-resolve
4 S     0   17574       1  0  80   0 - 721491 -     ?        00:00:36 snapd
4 S     0   18258       1  0  80   0 - 156209 -     ?        00:01:10 NetworkManager
